dbid,subject,experiment,session,condition,lm_scenarios,tm_scenarios,ls_n,lt_n,ts_n,tt_n,d_n,ls_t,lt_t,ts_t,tt_t,d_t,d_t_2,linear_time,triangular_time,draw_time,totalTime,LM_T_M,TM_T_M,DT_T_M,TOTAL_T_M,DIFF_T_M,linear_score,triangular_score,score_diff,time_diff,totalScore,AGE,COUNTRY,LANGUAGE,EDUCATION,MAJOR,GENDER,PREFERENCE,Rater,Graph Type,Graph Description (if other),X Axis,Y Axis,Graph Title,Data Point Labels,X Gridlines,Y Gridlines,Point Triangles,X-Axis Scale,Y-Axis Scale,Flag for Review,Points,DRAW_SCORE,ARF,Select each item that is labelled in the graph,Comments
58e45eadd46cc6fa347e9e6d,UWWFF,experiment,charlie,0,longmire,axis,3,4,4,6,2,119121,275488,141251,176318,101999,574094,394609,317569,676093,1756500,6.58,5.29,11.27,29.28,1.28,7,10,3,77040,19,23,China,Mandarin or Cantonese,Fourth,Natural Sciences,Female,the second one (triangular),Kai,Triangular,,time,hours,Patient Scheduling,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45eadd46cc6fa347e9e69,WKKMG,experiment,charlie,2,longmire,axis,4,8,1,0,1,135190,370858,182948,371731,224342,375129,506048,554679,599471,2166739,8.43,9.24,9.99,36.11,-0.81,12,1,-11,-48631,14,21,USA,English,Third,Math or Computer Sciences,Female,the first one (linear,Kai,Triangular (right angle),,START/END TIME,DURATION (Hours),SCHEDULING,Yes,None,None,No,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",sbj calculates the duration ahead of time right beside the chart
58e45eadd46cc6fa347e9e5f,WUQMM,reverse,charlie,2,axis,longmire,5,6,3,9,2,145342,312988,335384,348567,77259,817617,458330,683951,894876,2593594,7.64,11.4,14.91,43.23,-3.76,11,12,1,-225621,25,20,Sri Lanka,English,Third,Biomedical & Health Sciences,Female,the second one (triangular),Kai,Triangular,,Time,Duration (hrs),Time v Duration,Yes,None,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #, Trial #",
58e45eadd46cc6fa347e9e6a,X309N,experiment,charlie,3,longmire,axis,4,7,5,10,1,145449,712987,204583,396216,221723,629081,858436,600799,850804,2735413,14.31,10.01,14.18,45.59,4.29,11,15,4,257637,27,18,USA,English,First,Fine Arts,Female,the second one (triangular),Kai,Triangular,,TIME,HOURS,NA,Yes,None,Horizontal,Yes,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #, Trial #",sbj actually tries to mark the general trend of trial with the y-axis!
58e45e88d46cc6fa347e9794,192S2,reverse,delta,3,axis,longmire,4,7,2,0,2,165661,237170,120771,445369,113303,857402,402831,566140,970705,2808931,6.71,9.44,16.18,46.82,-2.72,11,2,-9,-163309,15,20,USA,Spanish,Third,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular,,Start & End Time,Trial #,Patient Schedules,Yes,None,None,Yes,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, E2, F3, H3, J4",9,,"Start time, End time, Patient #","had C1 (the ""incorrectly scheduled patient"" at the correct duration time, but then erased to fit y-axis trial #"
58e45e88d46cc6fa347e9790,1Y39Q,experiment,delta,2,axis,longmire,4,7,3,4,0,208871,537416,267185,430510,655200,228909,746287,697695,884109,3139682,12.44,11.63,14.74,52.33,0.81,11,7,-4,48592,18,29,China,Mandarin or Cantonese,Fifth,Social Sciences (incl. CogSci),Female,the second one (triangular),Hazel,Triangular,,Time,Duration,Patient Scheduling,Yes,Pyramid grid,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #, Trial #",
58e45e88d46cc6fa347e979f,6Z2EO,experiment,delta,2,axis,longmire,3,10,5,8,2,110387,239294,130042,276652,75304,626039,349681,406694,701343,2146217,5.83,6.78,11.69,35.77,-0.95,13,13,0,-57013,28,19,USA,English,Second,Natural Sciences,Female,the second one (triangular),Hazel,Triangular,,Time of Day,Total Duration (hrs),TITLE Patient Scheduling,Yes,None,None,Yes,1/2 hour,15 minutes,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Duration, Patient #",
58e45e88d46cc6fa347e9798,93LO6,reverse,delta,2,longmire,axis,5,7,1,8,1,197664,459081,453364,379191,465736,532799,656745,832555,998535,3221835,10.95,13.88,16.64,53.7,-2.93,12,9,-3,-175810,22,18,USA,English,First,Humanities,Female,the first one (linear,Hazel,Triangular,,Time of Patient Schedules,Duration,Patient Scheduling,Yes,None,Horizontal,Yes,1 hour,1 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e88d46cc6fa347e97a5,9MGOB,reverse,delta,2,longmire,axis,5,7,2,7,1,167727,453144,296409,349969,126848,1165675,620871,646378,1292523,3860306,10.35,10.77,21.54,64.34,-0.43,12,9,-3,-25507,22,21,USA,English,Third,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular (asymmetric),,Time (hr),Trial,James' Schedule,Yes,None,None,Yes,"starts out 1/2 hour, switches to 15 minutes",Trial #,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #, Trial #","x-axis time intervals inconsistent (starts out 30 minutes, switches to 15 minutes after 11am"
58e45e88d46cc6fa347e9793,BAC71,reverse,delta,3,longmire,axis,4,8,1,0,1,139603,398438,230466,471089,156602,608369,538041,701555,764971,2749690,8.97,11.69,12.75,45.83,-2.73,12,1,-11,-163514,14,20,USA,English,Third,Social Sciences (incl. CogSci),Female,the second one (triangular),Hazel,Triangular (right angle),,Start Time/End Time,# of Hours,Triangular Interval Graph,Yes,None,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e88d46cc6fa347e9797,DRWFW,experiment,delta,3,axis,longmire,5,10,4,10,2,180947,393374,111402,325970,94795,512361,574321,437372,607156,2714978,9.57,7.29,10.12,45.25,2.28,15,14,-1,136949,31,20,Brazil,Other,Third,Engineering,Female,the second one (triangular),Hazel,Triangular,,Time,Duration (hours),James' Triangular Interval Graph,Yes,Pyramid grid,None,Yes,1 hour,1 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #","Instead of full pyramid grid, drew out the criss-crossing for the necessary times in a rectangular shape"
58e45e88d46cc6fa347e979c,GJP2D,experiment,delta,3,axis,longmire,4,4,1,1,0,309409,536683,129044,535535,57978,460773,846092,664579,518751,2506073,14.1,11.08,8.65,41.77,3.03,8,2,-6,181513,10,20,USA,English,Third,Biomedical & Health Sciences,Male,the first one (linear,Hazel,Triangular (right angle),,Event Time,Duration Hours,James' Schedule,Yes,None,None,No,1 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",Draws connecting lines between the points; don't know why
58e45e88d46cc6fa347e97a4,JCSDC,reverse,delta,3,axis,longmire,5,9,4,6,2,165409,300362,200037,636709,472260,960435,465771,836746,1432695,3259571,7.76,13.95,23.88,54.33,-6.18,14,10,-4,-370975,26,19,USA,English,Second,Engineering,Male,the first one (linear,Hazel,Triangular,,Time,# of Hours,Patient Schedules,Yes,None,None,Yes,15 minutes,7.5 minutes,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3",9,,"Start time, End time, Duration, Patient #",
58e45e88d46cc6fa347e9796,JE4L8,experiment,delta,3,longmire,axis,4,9,4,9,2,93738,335385,149287,318924,80029,771143,429123,468211,851172,2082716,7.15,7.8,14.19,34.71,-0.65,13,13,0,-39088,28,22,Australia,Mandarin or Cantonese,Fifth,Social Sciences (incl. CogSci),Male,the second one (triangular),Hazel,Triangular,,Time,# of Hours,Time Intervals of Patients Across Trials,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e88d46cc6fa347e97a0,JL0XP,reverse,delta,3,axis,longmire,5,7,4,9,1,115724,251237,132758,352473,88712,615416,366961,485231,704128,2371378,6.12,8.09,11.74,39.52,-1.97,12,13,1,-118270,26,18,China,Mandarin or Cantonese,First,Social Sciences (incl. CogSci),Female,the second one (triangular),Hazel,Triangular,,Time,Time Interval,Lab Trial Time Organization Schedule,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e88d46cc6fa347e979b,JO52X,reverse,delta,0,longmire,axis,4,5,1,0,2,93441,462925,325352,454494,113131,755693,556366,779846,868824,3066958,9.27,13,14.48,51.12,-3.72,9,1,-8,-223480,12,18,Canada,English,First,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular,,Time,Duration,Patient's Schedule,Yes,Pyramid grid,None,Yes,1 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",only draws part of the complete pyramid grid to fit data points
58e45e88d46cc6fa347e979d,MW095,reverse,delta,2,axis,longmire,4,2,1,2,0,194559,238516,188112,432841,76154,466621,433075,620953,542775,2732614,7.22,10.35,9.05,45.54,-3.13,6,3,-3,-187878,9,19,USA,English,First,Biomedical & Health Sciences,Female,the first one (linear,Hazel,Scatterplot,,Start Time,Patient # End Time,NA (cut off),Yes,None,None,No,Start Time,"Patient Number, End Time",No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #",
58e45e88d46cc6fa347e9791,OQWZ1,reverse,delta,0,longmire,axis,4,8,2,7,1,129068,319840,240325,373193,242485,920960,448908,613518,1163445,2473946,7.48,10.23,19.39,41.23,-2.74,12,9,-3,-164610,22,22,China,Mandarin or Cantonese,Third,Math or Computer Sciences,Male,the first one (linear,Hazel,Triangular (asymmetric),,Start/End Time,Trial #,Patient Schedule (rest is cut off),Yes,None,None,Yes,1 hour,Trial #,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #, Trial #",
58e45e88d46cc6fa347e979a,WA9MH,reverse,delta,2,axis,longmire,4,8,2,1,1,128381,261839,219049,595603,94214,984765,390220,814652,1078979,3016830,6.5,13.58,17.98,50.28,-7.07,12,3,-9,-424432,16,20,USA,English,Second,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular,,Start and End Time,NA (cut off),NA (cut off),Yes,None,None,No,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",Draws little carets labeling each data point but not entire line to intersect with x-axis
58e45e88d46cc6fa347e9792,X3K4N,reverse,delta,2,longmire,axis,4,5,1,0,0,147944,609497,196689,516331,567030,68424,757441,713020,635454,3314636,12.62,11.88,10.59,55.24,0.74,9,1,-8,44421,10,19,USA,English,Second,Humanities,Female,the first one (linear,Hazel,Triangular (asymmetric),,Start/End Time,Trial (cut off),NA,Yes,None,None,No,1/2 hour,Trial,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #, Trial #",Lots of extra points drawn with faint lines coming out of them
58e45e88d46cc6fa347e97a6,ZP8OY,experiment,delta,0,longmire,axis,4,6,1,0,1,150376,432118,267235,370044,142746,553329,582494,637279,696075,2457217,9.71,10.62,11.6,40.95,-0.91,10,1,-9,-54785,12,22,Iraq,Other,Third,Biomedical & Health Sciences,Male,the first one (linear,Hazel,Triangular,,Time,# of Hours,Patient Appointments,No,None,None,No,NA (doesn't write),NA (doesn't write),Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,NA,"Axes are labeled, but not filled in; Asymmetrical triangle drawn to show general shape of points (not a pyramid grid though); subject seems to understand TM graph, but just didn't put any effort into drawing one"
58e45e33d46cc6fa347e9071,0O5R5,reverse,echo,2,axis,longmire,5,10,5,7,1,132647,271115,240896,432616,115521,1257100,403762,673512,1372621,2963956,6.73,11.23,22.88,49.4,-4.5,15,12,-3,-269750,28,18,USA,English,First,Social Sciences (incl. CogSci),Female,the first one (linear,Kai,Triangular,,(time of day),(duration at trial in hrs),Triangular Interval Graph: Intersections between scheduled patients and trial start/end times,Yes,Pyramid grid,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Duration, Patient #",
58e45e33d46cc6fa347e9070,0T69Q,reverse,echo,2,longmire,axis,4,4,2,0,1,116934,472023,276084,273019,694101,41730,588957,549103,735831,2017643,9.82,9.15,12.26,33.63,0.66,8,2,-6,39854,11,19,Korea,Other,First,Math or Computer Sciences,Male,the first one (linear,Kai,Linear Model,(duration on y),Time,Patients,James Lab Schedule,Yes,None,None,No,1/2 hour,Patient Number,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Patient #, Trial #",
58e45e33d46cc6fa347e9072,1SZED,reverse,echo,2,longmire,axis,4,9,2,8,1,91464,296172,263062,222281,179377,563217,387636,485343,742594,1847544,6.46,8.09,12.38,30.79,-1.63,13,10,-3,-97707,24,21,USA,English,Third,Social Sciences (incl. CogSci),Male,the first one (linear,Kai,Triangular,,Start & end time,Time in hours,Triangular Interval Graph for James,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e33d46cc6fa347e9075,26O5W,reverse,echo,3,longmire,axis,5,9,3,8,2,104292,336780,226991,385746,111113,678750,441072,612737,789863,2066367,7.35,10.21,13.16,34.44,-2.86,14,11,-3,-171665,27,23,Korea,Other,Third,Social Sciences (incl. CogSci),Female,the first one (linear,Kai,Triangular,,START & END TIME,DURATION (HOURS),Patient Scheduling - James,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e33d46cc6fa347e906b,2JSK2,experiment,echo,2,axis,longmire,4,9,4,10,2,141790,494496,186568,363475,128028,561211,636286,550043,689239,2564704,10.6,9.17,11.49,42.75,1.44,13,14,1,86243,29,20,Brazil,Other,Third,Math or Computer Sciences,Male,the second one (triangular),Kai,Triangular,,Start/end time,duration,James' Triangular Graph,Yes,None,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e33d46cc6fa347e9069,78CYG,reverse,echo,3,longmire,axis,4,7,4,6,2,106617,308157,131163,392302,130290,884390,414774,523465,1014680,2127691,6.91,8.72,16.91,35.46,-1.81,11,10,-1,-108691,23,19,USA,English,Second,Social Sciences (incl. CogSci),Female,the first one (linear,Kai,Triangular (right angle),,Start time,Duration (hr),(cut off),Yes,None,None,Yes,1/2 hour,7.5 minutes,No,"D2, G3, C1, E2, F3, H3",6,,"Start time, Duration, Patient #",sbj has correct understanding of the type of graph but sometimes plot the points at wrong spot.
58e45e33d46cc6fa347e906e,9YM1Z,reverse,echo,4,longmire,axis,4,3,0,3,0,93422,338099,112987,161733,835691,75820,431521,274720,911511,1740197,7.19,4.58,15.19,29,2.61,7,3,-4,156801,10,21,USA,English,Fourth,Biomedical & Health Sciences,Female,the first one (linear,Kai,Triangular (asymmetric),,Start & End time,Patient #,NA,No,None,None,Yes,1/2 hour,Patient #,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #",Sbj used patient number directly on the y-axis
58e45e33d46cc6fa347e9076,AX24A,reverse,echo,4,longmire,axis,5,5,1,1,2,101902,270685,160133,344181,101721,464301,372587,504314,566022,1564066,6.21,8.41,9.43,26.07,-2.2,10,2,-8,-131727,14,21,USA,English,Fourth,Biomedical & Health Sciences,Female,the first one (linear,Kai,Triangular (asymmetric),,START & END Time,Trial #,James Schedule,Yes,None,None,Yes,1/2 hour,Trial #,No,"A1, D2, B1, G3, F3, J4",6,,"Start time, End time, Patient #, Trial #",
58e45e33d46cc6fa347e9066,AYPYF,reverse,echo,4,longmire,axis,4,5,1,0,1,137955,358705,405651,598965,165208,626354,496660,1004616,791562,2502554,8.28,16.74,13.19,41.71,-8.47,9,1,-8,-507956,11,20,USA,English,Second,Math or Computer Sciences,Male,the first one (linear,Kai,Triangular (right angle),,Start & End Time,Patient #,(cut off),Yes,None,None,No,1/2 hour,Unclear,No,"A1, B1, G3, I4, C1, E2, F3, H3",8,,"Start time, End time, Patient #",cut off graph title
58e45e33d46cc6fa347e9074,DJ7X4,experiment,echo,2,longmire,axis,3,6,1,0,0,156949,377362,244968,331777,70638,442445,534311,576745,513083,1859069,8.91,9.61,8.55,30.98,-0.71,9,1,-8,-42434,10,21,USA,English,Third,Social Sciences (incl. CogSci),Male,the first one (linear,Kai,Triangular,,NA,(IMAGE GOT CUT OFF),Triangular Interval Graph,Yes,None,None,Yes,20 minutes,1/2 hour,Yes,"D2, E2, H3",3,,"Start time, End time, Duration, Patient #",Sbj has correct understanding of the graph but the graph wasn't drawn precisely
58e45e33d46cc6fa347e9064,FTX1J,reverse,echo,2,longmire,axis,5,6,1,0,1,139084,446429,176348,379811,364934,642988,585513,556159,1007922,2340290,9.76,9.27,16.8,39,0.49,11,1,-10,29354,13,21,China,Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular),Kai,Triangular (right angle),,Time,Duration (hr),James's Patient Scheduling,Yes,Pyramid grid,None,No,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Duration, Patient #",There's an outline of pyramid grid on the x-axis although it's not complete
58e45e33d46cc6fa347e9077,KV969,reverse,echo,2,axis,longmire,5,7,4,6,1,117935,240414,152513,319784,150721,355404,358349,472297,506125,1511963,5.97,7.87,8.44,25.2,-1.9,12,10,-2,-113948,23,22,USA,English,Fifth,Social Sciences (incl. CogSci),Female,the first one (linear,Kai,Triangular,,Time,DURATION (HRS),PATIENT SCHEDULING,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e33d46cc6fa347e906f,OOSCB,reverse,echo,3,longmire,axis,5,5,2,4,0,136358,353993,379281,446215,102961,322544,490351,825496,425505,1889229,8.17,13.76,7.09,31.49,-5.59,10,6,-4,-335145,16,21,USA,English,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,Kai,Triangular,,Time of Day,NA,NA,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,Patient #,
58e45e33d46cc6fa347e9062,POQNH,reverse,echo,0,longmire,axis,4,8,1,5,2,132110,407387,258584,518476,147056,622498,539497,777060,769554,2239647,8.99,12.95,12.83,37.33,-3.96,12,6,-6,-237563,20,21,USA,Other,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,Kai,Triangular (asymmetric),,Start Time,Trial Number,Patient Scheduling Data,Yes,Pyramid grid,None,No,1/2 hour,Trial number,No,"A1, B1",2,,"Start time, Patient #, Trial #",Sbj seems to plot according to start time only and not represent the end time
58e45e33d46cc6fa347e9073,RE9Z1,experiment,echo,0,axis,longmire,5,6,3,3,1,175448,229328,193595,374587,54284,492279,404776,568182,546563,1860234,6.75,9.47,9.11,31,-2.72,11,6,-5,-163406,18,18,USA,English,First,Humanities,Female,the first one (linear,Kai,Triangular (right angle),,Start Times,Duration of Time,Start Times by Duration of Time for Patients,Yes,Pyramid grid,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, Duration, Patient #",
58e45e33d46cc6fa347e9068,RGOP0,reverse,echo,0,longmire,axis,5,7,4,8,2,114668,415326,216733,328340,636496,152369,529994,545073,788865,2113749,8.83,9.08,13.15,35.23,-0.25,12,12,0,-15079,26,19,USA,English,First,Engineering,Female,the second one (triangular),Kai,Triangular,,Start/End Time,Duration (Hours),Jame's Client Schedule,Yes,None,Horizontal,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e33d46cc6fa347e9060,TA2L5,reverse,echo,3,longmire,axis,4,5,3,5,1,108664,428249,221475,424155,899807,106994,536913,645630,1006801,2385396,8.95,10.76,16.78,39.76,-1.81,9,8,-1,-108717,18,21,USA,English,Fourth,Social Sciences (incl. CogSci),Male,the first one (linear,Kai,Triangular (asymmetric),,START & END,TRIAL,JAMES SCHEDULE,Yes,Pyramid grid,Horizontal,Yes,1/2 hour,Trial number,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, J4",9,,"Start time, End time, Patient #, Trial #",1) The grid lines exist but are not complete. 2) It almost feels like that sbj is trying to incorporate the regular triangular model with the asymmetric triangular model.
58e45e33d46cc6fa347e9067,UNUPL,reverse,echo,2,axis,longmire,4,8,1,5,2,107661,287586,215480,671074,104298,610540,395247,886554,714838,2203064,6.59,14.78,11.91,36.72,-8.19,12,6,-6,-491307,20,20,Taiwan,Mandarin or Cantonese,Second,Biomedical & Health Sciences,Male,the first one (linear,Kai,Triangular,,Start end time,Last,James' Patients Schedule,Yes,Pyramid grid,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45e33d46cc6fa347e9061,UOBPQ,reverse,echo,3,longmire,axis,4,6,1,1,0,108371,428223,166751,506336,104932,872878,536594,673087,977810,2377342,8.94,11.22,16.3,39.62,-2.27,10,2,-8,-136493,12,24,mEXICO,Spanish,Fifth,Natural Sciences,Female,the first one (linear,Kai,Triangular (right angle),,Time Start to End,Duration,Patient Scheduling,Yes,None,None,No,1/2 hour,7.5 min,No,"A1, D2, B1, G3, I4, C1, F3, H3, J4",9,,"Start time, End time, Duration, Patient #",
58e45e33d46cc6fa347e9065,UUTZ9,reverse,echo,3,axis,longmire,4,9,5,8,2,161088,321633,140279,411771,156240,765612,482721,552050,921852,2223797,8.05,9.2,15.36,37.06,-1.16,13,13,0,-69329,28,18,USA,Mandarin or Cantonese,First,Engineering,Male,the second one (triangular),Kai,Triangular (asymmetric),,Time,Trial,Patient Schedules,Yes,None,None,Yes,1/2 hour,Trial number,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Patient #, Trial #",
58e45e33d46cc6fa347e9063,W12ZU,reverse,echo,2,axis,longmire,4,3,2,2,1,163910,356553,337470,603253,597115,118215,520463,940723,715330,2363125,8.67,15.68,11.92,39.39,-7,7,4,-3,-420260,12,21,USA,English,Fourth,Biomedical & Health Sciences,Female,the first one (linear,Kai,Linear Model,,NA,NA,NA,No,None,None,No,1 hour,Patient number,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,Patient #,
58e45e33d46cc6fa347e906d,WM4OX,reverse,echo,4,longmire,axis,5,8,1,0,2,98111,344385,325172,411145,112472,516238,442496,736317,628710,2050708,7.37,12.27,10.48,34.18,-4.9,13,1,-12,-293821,16,20,USA,English,Second,Social Sciences (incl. CogSci),Male,the first one (linear,Kai,Triangular (right angle),,Start & End Time,Duration (Hours),(Image got cut off),Yes,Pyramid grid,None,No,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",Cut off - Title
58e45e33d46cc6fa347e906a,WMNAY,experiment,echo,4,axis,longmire,3,5,4,7,2,159028,331220,134985,443985,566574,104189,490248,578970,670763,1946437,8.17,9.65,11.18,32.44,-1.48,8,11,3,-88722,21,22,China,Mandarin or Cantonese,First,Social Sciences (incl. CogSci),Female,the second one (triangular),Kai,Linear Model,(duration on y),Time,Trial,Schedule,Yes,None,None,No,1/2 hour,Trial number,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Patient #, Trial #",
58e45e33d46cc6fa347e906c,Z65A1,reverse,echo,4,axis,longmire,4,5,3,8,1,144957,313118,129106,461287,115309,621860,458075,590393,737169,2045305,7.63,9.84,12.29,34.09,-2.21,9,11,2,-132318,21,20,USA,Other,Third,Social Sciences (incl. CogSci),Female,the second one (triangular),Kai,Triangular,,Times,Patiants,James' Schedule,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,Patient #,"Although the y-axis correctly stands for duration on the graph created, it's labeled as ""Patiants."""
"ObjectId(""58ffef548c1cc23bab096a24"")",1J0CV,experiment,expert,e4,longmire,axis,5,10,5,10,2,181298,539140,181467,347357,41727,281441,720438,528824,323168,1678129,12.01,8.81,5.39,27.97,3.19,15,15,0,191614,32,22,Taiwan},Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular)},,,,,,,,,,,,,,,,,,
"ObjectId(""58ffef548c1cc23bab096a29"")",8XZ5Z,experiment,expert,e0,axis,longmire,5,10,5,10,2,208124,546168,152859,579118,124029,506847,754292,731977,630876,2302199,12.57,12.2,10.51,38.37,0.37,15,15,0,22315,32,22,Taiwan},Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular)},,,,,,,,,,,,,,,,,,
"ObjectId(""58ffef548c1cc23bab096a27"")",KUPVH,experiment,expert,e0,axis,longmire,4,6,5,6,2,217116,554872,129699,624081,98578,665210,771988,753780,763788,2798663,12.87,12.56,12.73,46.64,0.3,10,11,1,18208,23,20,USA},English,Third,Social Sciences (incl. CogSci),Female,the second one (triangular)},,,,,,,,,,,,,,,,,,
"ObjectId(""58ffef548c1cc23bab096a26"")",NOS98,experiment,expert,e4,longmire,axis,3,8,5,8,2,158954,535111,132943,337370,11187,457740,694065,470313,468927,1777666,11.57,7.84,7.82,29.63,3.73,11,13,2,223752,26,20,USA},Mandarin or Cantonese,Second,Social Sciences (incl. CogSci),Female,the second one (triangular)},,,,,,,,,,,,,,,,,,
"ObjectId(""58ffef548c1cc23bab096a25"")",V7F3B,experiment,expert,e4,axis,longmire,5,7,5,7,2,147755,397317,114890,352570,34142,327791,545072,467460,361933,1480664,9.08,7.79,6.03,24.68,1.29,12,12,0,77612,26,20,USA},English,Third,Social Sciences (incl. CogSci),Female,the second one (triangular)},,,,,,,,,,,,,,,,,,
"ObjectId(""58ffef548c1cc23bab096a28"")",Y07OR,experiment,expert,e0,axis,longmire,4,4,5,7,2,120068,251114,102579,369531,80910,525944,371182,472110,606854,1759115,6.19,7.87,10.11,29.32,-1.68,8,12,4,-100928,22,20,USA},Mandarin or Cantonese,Second,Social Sciences (incl. CogSci),Female,the second one (triangular)},,,,,,,,,,,,,,,,,,
58e45df9d46cc6fa347e8909,12TUL,reverse,foxtrot,0,longmire,axis,5,9,4,8,1,138198,442784,266578,410230,420794,51659,580982,676808,472453,1992120,9.68,11.28,7.87,33.2,-1.6,14,12,-2,-95826,27,19,USA,English,Second,Social Sciences (incl. CogSci),Male,the second one (triangular),Kai,Triangular,,Start & End Time,Duration (hours),Jones Lab Schedule,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
